id,brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,price
498,BMW,M4 Competition xDrive,2022,1050,Gasoline,503.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,30000
499,Ford,Shelby GT350R Base,2020,33000,Gasoline,526.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,M/T,White,Black,None reported,49990
500,BMW,328 xi,2006,96680,Gasoline,225.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,12500
501,Lexus,LX 570 Three-Row,2019,31150,Gasoline,383.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Brown,None reported,42500
502,Lexus,IS 250 Base,2006,151896,Gasoline,204.0HP 2.5L V6 Cylinder Engine Gasoline Fuel,A/T,Beige,Beige,At least 1 accident or damage reported,12990
503,Land,Rover Range Rover Sport Supercharged HSE,2021,19800,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,White,Black,None reported,59000
504,Land,Rover Range Rover HSE SWB,2020,36000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,112500
505,Ford,F-250 Lariat,2021,28220,Diesel,475.0HP 6.7L 8 Cylinder Engine Diesel Fuel,10-Speed A/T,Gold,Black,None reported,75000
506,Mercedes-Benz,GLK-Class GLK 350,2014,72639,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,10500
507,Ford,Shelby GT500 Base,2021,10400,Gasoline,760.0HP 5.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,None reported,47124
508,Ford,Transit-350 XLT,2019,18000,Gasoline,275.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,46900
509,Porsche,911 Carrera 4S,2018,18494,Gasoline,420.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,7-Speed M/T,Silver,Black,None reported,94999
510,Ford,Fusion Hybrid SE,2013,84421,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,Silver,Black,None reported,22000
511,Chevrolet,Suburban 1500 LS,1999,119500,Gasoline,300.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,13800
512,Hyundai,Genesis Coupe 3.8 Base,2015,67686,Gasoline,348.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,At least 1 accident or damage reported,18400
513,GMC,Acadia SLE,2020,69185,Gasoline,2.5L I4 16V GDI DOHC,8-Speed Automatic,Ebony Black,Jet Black,None reported,30825
514,Toyota,Highlander XLE,2022,29000,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,CVT Transmission,White,Black,At least 1 accident or damage reported,39990
515,Ford,Focus RS Base,2014,37060,Gasoline,350.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Gray,At least 1 accident or damage reported,29950
516,Mercedes-Benz,E-Class E 350 4MATIC,2013,73091,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,15500
517,Nissan,Murano SL,2004,245000,Gasoline,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Gray,At least 1 accident or damage reported,5500
518,BMW,X5 xDrive40i,2020,41000,Gasoline,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,White,At least 1 accident or damage reported,50000
519,BMW,340 i,2019,48000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Beige,None reported,46000
520,Lexus,GX 460 Base,2018,45000,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,White,Beige,None reported,50000
521,Mercedes-Benz,AMG GT 63 S 4-Door,2020,23152,Gasoline,630.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,–,Black,None reported,64600
522,Subaru,Impreza WRX STI,2014,67250,Gasoline,305.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,15500
523,Volkswagen,Golf GTI 2.0T SE 4-Door,2016,89500,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,16999
524,Chevrolet,Camaro 1SS,2021,73846,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Black Cherry,Black,None reported,34645
525,INFINITI,QX60 Luxe,2018,38400,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Gray,None reported,21250
526,BMW,535 i xDrive,2011,76500,Gasoline,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,A/T,Black,Beige,At least 1 accident or damage reported,15999
527,GMC,Yukon XL Denali,2023,4500,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,92888
528,Mercedes-Benz,E-Class E 350 4MATIC,2009,82900,Gasoline,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Beige,At least 1 accident or damage reported,11970
529,Mercedes-Benz,GL-Class GL 450 4MATIC,2012,87000,Gasoline,335.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Black,None reported,22500
530,Kia,Optima LX,2015,109580,Gasoline,200.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,19500
531,Toyota,Land Cruiser Base,1997,150000,Gasoline,212.0HP 4.5L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Black,Beige,At least 1 accident or damage reported,6399
532,Dodge,Challenger R/T Scat Pack,2021,35000,–,–,8-Speed A/T,Blue,Gray,None reported,48000
533,Kia,Telluride SX,2017,56450,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,At least 1 accident or damage reported,30000
534,RAM,1500 Tradesman/Express,2022,24906,Gasoline,3.6 Liter DOHC,Automatic,Delmonico Red Pearlcoat,Black,None reported,42998
535,Toyota,Tacoma Double Cab,2005,242000,Gasoline,236.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,White,–,None reported,6880
536,Ford,F-150 Lariat,2019,31000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,39000
537,Nissan,350Z Enthusiast,2005,74000,Gasoline,287.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,7899
538,Dodge,Challenger SRT Hellcat,2021,12600,Gasoline,717.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Silver,Black,None reported,78500
539,Land,Rover Range Rover 5.0L Supercharged Autobiography LWB,2016,46000,Gasoline,510.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,White,None reported,85500
540,Ford,F-250 XLT SuperCab Super Duty,2011,184000,Diesel,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,A/T,White,Gray,None reported,58000
541,Bentley,Continental GT V8 S,2020,31500,Gasoline,521.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Beige,Beige,None reported,349950
542,Ford,F-150 XLT,2021,29830,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Red,Black,None reported,38322
543,Mercedes-Benz,GLS 450 Base 4MATIC,2022,15000,Hybrid,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,9-Speed A/T,Gray,Black,None reported,42000
544,Ford,F-150 XLT,2018,67500,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,White,Gray,None reported,30950
545,BMW,X3 xDrive30i,2021,2492,Gasoline,2.0 Liter Turbo,Automatic,White,Canberra Beige/Black,None reported,41598
546,Land,Rover Range Rover Sport HSE,2017,57500,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,None reported,33700
547,Mercedes-Benz,C-Class C 300 4MATIC Sport,2008,122000,Gasoline,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,11900
548,Mazda,RX-8 Grand Touring,2013,97700,Gasoline,232.0HP 1.3L Rotary engine Gasoline Fuel,6-Speed M/T,Silver,Black,None reported,22000
549,Mercedes-Benz,C-Class C 300 4MATIC Sport,2019,61300,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,29500
550,Chevrolet,Colorado ZR2,2021,24915,Gasoline,3.6 Liter SIDI DOHC,Automatic,Black,Jet Black,None reported,48698
551,Jeep,Wrangler Unlimited Rubicon,2014,52000,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,21500
552,Jeep,Wrangler Unlimited Freedom Edition,2019,53249,Hybrid,2.0L I4 16V GDI DOHC Turbo Hybrid,8-Speed Automatic with Auto-Shift,Black Clearcoat,Black,At least 1 accident or damage reported,31953
553,Ford,F-150 Lariat,2020,19700,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,49900
554,Mercedes-Benz,S-Class S 560 4MATIC,2019,10483,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,9-Speed Automatic,Black,Black,None reported,42999
555,INFINITI,G37 S Sport,2009,135000,Gasoline,328.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,5-Speed A/T,Red,Gray,At least 1 accident or damage reported,9500
556,Lexus,LC 500 Base,2021,64000,Gasoline,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,32500
557,RAM,1500 Big Horn,2023,1563,Gasoline,395.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Beige,None reported,69250
558,Chevrolet,Camaro Base,2001,79635,Gasoline,200.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Gray,None reported,17550
559,Chevrolet,Trailblazer LS,2022,55621,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Platinum Quartz Metallic,Black,None reported,45277
560,Audi,RS 5 2.9T,2019,49000,Gasoline,444.0HP 2.9L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Red,At least 1 accident or damage reported,49900
561,Jeep,Grand Cherokee Limited,2021,23842,Gasoline,3.6L V6 24V GDI DOHC,8-Speed Automatic,Granite Crystal Clearcoat Metallic,Black,None reported,47449
562,BMW,X7 xDrive40i,2021,15000,Hybrid,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,8-Speed A/T,Gray,Black,,108900
563,Land,Rover Range Rover P525 Westminster,2021,5483,Gasoline,5.0L V8 32V PDI DOHC,8-Speed Automatic,Black,Ebony,None reported,49995
564,Porsche,911 Carrera C2S,2008,9628,Gasoline,3.0L H6 24V GDI DOHC Twin Turbo,7-Speed Manual,Black,–,None reported,45999
565,Ford,Expedition Timberline,2022,24500,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Blue,Brown,At least 1 accident or damage reported,41500
566,Porsche,911 Carrera,2014,65000,Gasoline,350.0HP 3.4L Flat 6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Beige,None reported,43500
567,Jaguar,XK8 Base,2000,44000,Gasoline,290.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,5-Speed A/T,Silver,Black,None reported,16600
568,Ford,F-150 XLT,2016,98000,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,–,None reported,21000
569,Jeep,Gladiator Sport S,2019,12758,Gasoline,285.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,84500
570,Audi,S5 3.0T Premium Plus,2014,119850,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,18500
571,Mercedes-Benz,E-Class E 350,2021,16813,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,9-Speed A/T,Black,Black,None reported,39995
572,Mercedes-Benz,AMG C 63 Base,2017,63000,Gasoline,469.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,65000
573,INFINITI,QX60 Base,2014,127500,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Silver,Gray,None reported,31000
574,Kia,K900 5.0L,2019,8263,Gasoline,420.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,23999
575,Volkswagen,Golf Auto TSI S,2018,136400,Gasoline,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,5-Speed M/T,Black,–,None reported,27500
576,Toyota,Tundra SR5 Double Cab,2004,170000,Gasoline,282.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,None reported,4700
577,Porsche,911 Carrera 4S,2022,2950,Gasoline,443.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Black,None reported,51900
578,Jeep,Wrangler Sport,2002,132000,Gasoline,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,5-Speed M/T,Green,Gray,At least 1 accident or damage reported,11500
579,Land,Rover Defender V8,2022,9000,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,94999
580,Lamborghini,Urus Base,2021,2950,Gasoline,641.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Red,None reported,417500
581,Mercedes-Benz,C-Class C 300 4MATIC Sport,2014,96000,Gasoline,241.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,12900
582,Lexus,RX 450h Base,2018,82975,Hybrid,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,CVT Transmission,White,Gray,None reported,18700
583,Lexus,RX 350 F Sport Performance,2021,46707,Gasoline,3.5L V6 24V PDI DOHC,8-Speed Automatic,Ultra White,Black,None reported,143900
584,Cadillac,Escalade ESV Platinum,2017,93971,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,24500
585,BMW,340 i,2016,86500,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Blue,Black,None reported,21000
586,Subaru,Outback 2.5i Limited,2015,96476,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,None reported,14999
587,Mercedes-Benz,AMG G 63 Base,2022,7800,Gasoline,563.0HP 5.5L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,78000
588,BMW,428 i xDrive SULEV,2017,54000,Gasoline,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Beige,None reported,34000
589,Porsche,911 GT3 RS,2022,10900,Gasoline,4.0L H6 24V GDI DOHC,8-Speed Automatic with Auto-Shift,Python Green,Black,None reported,58900
590,Lexus,GX 460 Base,2013,89148,Gasoline,301.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,None reported,18500
591,Porsche,Macan S,2022,29136,Gasoline,3.0 Liter Turbo,Automatic,White,Red,None reported,41598
592,RAM,1500 Big Horn,2021,25462,Gasoline,5.7L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Black,None reported,42886
593,Lexus,IS 300 Base,2015,107800,Gasoline,260.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Beige,At least 1 accident or damage reported,13000
594,Kia,Telluride S,2020,2958,Gasoline,291.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,99950
595,Chevrolet,Corvette Stingray w/3LT,2022,10500,Gasoline,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Black,Black,None reported,75000
596,Chevrolet,Tahoe LT,2015,123500,Gasoline,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,23500
597,BMW,330 i xDrive,2016,75000,Gasoline,255.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Green,Black,None reported,20150
598,RAM,1500 Big Horn,2021,65000,Hybrid,395.0HP 5.7L 8 Cylinder Engine Gasoline/Mild Electric Hybrid,A/T,Silver,Black,None reported,40000
599,Mercedes-Benz,SL-Class SL500 Roadster,2007,222,Gasoline,302.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Black,Gray,None reported,84999
600,Bentley,Continental GT V8 S,2021,13500,Gasoline,542.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,74500
601,Land,Rover Range Rover Velar P250 S R-Dynamic,2020,10500,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,45000
602,Land,Rover Range Rover Velar P250 S R-Dynamic,2018,41550,Gasoline,247.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,30000
603,Ford,Transit-350 Base,2016,105760,Gasoline,310.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Black,At least 1 accident or damage reported,37899
604,BMW,S-Class S 560 4MATIC,2022,13700,Gasoline,463.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,44600
605,Cadillac,XT6 Sport AWD,2021,37366,Gasoline,3.6L V6 24V GDI DOHC,Automatic,Garnet Red Metallic,Black,None reported,73600
606,Ford,Bronco Outer Banks Advanced,2023,1025,Gasoline,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Brown,None reported,45000
607,Ford,F-150 Platinum,2022,31500,Gasoline,450.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Gray,Black,None reported,56900
608,Dodge,Durango SRT 392,2022,31917,Gasoline,475.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,44900
609,Kia,Sportage Nightfall,2019,38012,Gasoline,2.4L I4 16V GDI DOHC,8-Speed Automatic,Snow White Pearl,Black,None reported,45770
610,Chrysler,Crossfire Limited,2004,152000,Gasoline,130.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,A/T,Red,Gray,None reported,6450
611,Mercedes-Benz,G-Class G 550 4MATIC,2021,6682,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,Automatic,designo Diamond White Metallic,Black,None reported,279950
612,Lexus,RX 350 F Sport,2017,61773,Gasoline,295.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,29995
613,Mercedes-Benz,AMG G 63 Base,2017,24500,Gasoline,577.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Blue,Black,None reported,64000
614,RAM,2500 Big Horn,2021,57300,Gasoline,6.4L V8 16V MPFI OHV,8-Speed Automatic,Bright White Clearcoat,Diesel Gray / Black,None reported,43640
615,RAM,ProMaster 2500 Window Van High Roof,2016,49750,Gasoline,280.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,6-Speed A/T,Red,Gray,None reported,35000
616,Maserati,GranTurismo Base,2008,53500,Gasoline,405.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,6-Speed A/T,Black,Black,None reported,60000
617,Land,Rover Range Rover Sport HSE Dynamic,2019,58000,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,White,Black,None reported,28000
618,McLaren,720S Performance,2018,12985,Gasoline,4.0L V8 32V GDI DOHC Twin Turbo,7-Speed Automatic with Auto-Shift,–,–,None reported,173995
619,Jaguar,F-TYPE R,2020,54000,Gasoline,550.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,None reported,62000
620,Audi,A4 2.0T Premium,2012,68000,Gasoline,211.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Black,None reported,18500
621,Mercedes-Benz,GL-Class GL 450 4MATIC,2018,40000,Gasoline,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Silver,Black,None reported,43000
622,Ford,Mustang GT Premium,2017,52044,Gasoline,460.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,31500
623,Chevrolet,Silverado 1500 LT Crew Cab,2007,167500,Gasoline,295.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,A/T,White,Gray,At least 1 accident or damage reported,10995
624,Mercedes-Benz,SLK-Class SLK 350,2008,120800,Gasoline,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Red,Beige,None reported,14900
625,Dodge,Ram 1500 ST,2007,148000,Gasoline,210.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Gray,None reported,5800
626,Audi,A3 2.0T Premium,2018,56856,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Black,At least 1 accident or damage reported,69995
627,BMW,330 i,2019,45791,Gasoline,248.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,25000
628,Cadillac,Escalade Sport Platinum,2018,44000,Gasoline,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,,116999
629,Ford,F-150 Lariat,2021,84351,Gasoline,3.5L V6 24V PDI DOHC Twin Turbo,Automatic,Agate Black Metallic,Black,None reported,23998
630,Audi,A3 2.0T Tech Premium,2018,72865,Gasoline,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gray,Black,None reported,21000
631,Porsche,Macan S,2018,48000,Gasoline,330.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Gray,Black,At least 1 accident or damage reported,33490
632,Lexus,GX 470 Base,2004,96700,Gasoline,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,A/T,White,Beige,None reported,23500
633,BMW,M235 i,2022,12000,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,7-Speed A/T,Gray,Red,None reported,42500
634,Mazda,CX-5 Touring,2015,122000,Gasoline,227.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Transmission w/Dual Shift Mode,Gold,Beige,None reported,23000
635,Porsche,911 Carrera 4S Cabriolet,2006,2300,Gasoline,385.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Black,Black,None reported,99750
636,Porsche,911 Carrera C2S,2004,20500,Gasoline,355.0HP 3.8L Flat 6 Cylinder Engine Gasoline Fuel,6-Speed M/T,Red,Beige,None reported,46900
637,Volkswagen,Golf GTI 2.0T SE 4-Door,2018,72393,Gasoline,260.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,White,Black,None reported,32000
638,RAM,1500 Rebel,2019,54860,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Black,None reported,43449
639,Chevrolet,Silverado 1500 W/T,2016,66770,Gasoline,5.3L V8 16V GDI OHV,6-Speed Automatic,Cajun Red Tintcoat,Jet Black,,15550
640,Ford,Fusion Hybrid SE,2017,96419,Hybrid,188.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,A/T,White,Black,At least 1 accident or damage reported,18500
641,Land,Rover Range Rover 3.0L Supercharged HSE,2018,6483,Gasoline,380.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,9-Speed A/T,Gray,Beige,At least 1 accident or damage reported,59950
642,BMW,340 i,2016,79950,Gasoline,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Gray,Red,None reported,19995
643,Toyota,Tundra Limited,2020,61494,Hybrid,3.4L V6 24V PDI DOHC Twin Turbo Hybrid,Automatic,Midnight Black Metallic,Black,At least 1 accident or damage reported,34084
644,Land,Rover Range Rover Velar R-Dynamic SE,2022,17836,Gasoline,2.0 Liter,Automatic,Black,Black,None reported,38298
645,Ford,Fusion SE,2016,80800,Gasoline,175.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Beige,None reported,10500
646,Land,Rover Range Rover Sport Supercharged HSE,2015,76000,Gasoline,340.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Black,Black,At least 1 accident or damage reported,13980
647,Volvo,XC90 3.2 Premier Plus,2013,110000,Gasoline,240.0HP 3.2L Straight 6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Gray,,15550
648,Ford,F-150 Lariat,2013,81000,Gasoline,365.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,A/T,White,Black,None reported,22800
649,Cadillac,CTS 3.6L Premium,2019,23000,Gasoline,321.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Black,Black,None reported,32000
650,Ford,F-150 XLT,2018,51300,Gasoline,325.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,10-Speed A/T,Black,Gray,None reported,36000
651,Chevrolet,Camaro 2SS,2022,12000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,White,Black,None reported,64995
652,Rolls-Royce,Cullinan,2022,115,Gasoline,6.7L V12 48V GDI DOHC Twin Turbo,8-Speed Automatic,Diamond White,Black,None reported,239995
653,Chevrolet,Camaro 2SS,2017,26000,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Blue,Black,None reported,45000
654,Dodge,Ram 2500 Laramie Quad Cab,2007,143000,Gasoline,345.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,8900
655,Genesis,GV70 3.5T Sport,2022,14750,Gasoline,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,8-Speed A/T,Green,Beige,None reported,18950
656,Ford,Mustang Premium,2007,152270,Gasoline,210.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,A/T,Green,Beige,At least 1 accident or damage reported,7700
657,Audi,A7 3.0T Premium Plus,2016,70891,Gasoline,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,At least 1 accident or damage reported,28750
658,Land,Rover Range Rover P525 Westminster,2022,4900,Gasoline,518.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,8-Speed A/T,Red,Gray,None reported,91000
659,Ford,Escape XLT,2012,82900,Gasoline,153.0HP 1.4L 4 Cylinder Engine Gasoline Fuel,6-Speed A/T,Gray,Black,None reported,16750
660,Toyota,Tundra SR5,2022,28121,Gasoline,3.4L V6 24V PDI DOHC Twin Turbo,10-Speed Automatic,Gray,Black,None reported,62890
661,Chevrolet,Camaro 2SS,2016,53900,Gasoline,455.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,A/T,Silver,Black,None reported,14500
662,Lexus,RX 300 Base,2003,149000,Gasoline,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,A/T,Blue,Beige,None reported,3999
663,Mazda,Mazda6 i Touring,2016,122000,Gasoline,184.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,6-Speed M/T,Blue,Black,None reported,20000
664,Audi,A8 4.0,2021,11089,Hybrid,4.0 Liter Twin Turbo,Automatic,Mythos Black Metallic,Sarder Brown,None reported,89900
